id,title,description,product_barcode,discount_type,discount_value,aisle
promo-gen-1,Cenoura Especial 1 kg,Desconto fixo de R$ 20.00 no produto Cenoura Especial 1 kg.,7891000100030,fixed,20.0,B2
promo-gen-2,Amaciante Artesanal 2 L,Desconto fixo de R$ 20.00 no produto Amaciante Artesanal 2 L.,7891000100061,fixed,20.0,
promo-gen-3,Óleo Tradicional 500 mL,Ganhe 25% de desconto em Óleo Tradicional 500 mL!,7891000100017,percentage,25.0,B1
promo-gen-4,Cerveja Artesanal 2 L,Ganhe 5% de desconto em Cerveja Artesanal 2 L!,7891000100003,percentage,5.0,C1
promo-gen-5,Batata Natural 500 g,Desconto fixo de R$ 5.00 no produto Batata Natural 500 g.,7891000100038,fixed,5.0,E1
promo-gen-6,Seleção Especial: Amaciante Clássico 1 L,Desconto fixo de R$ 10.00 no produto Amaciante Clássico 1 L.,7891000100040,fixed,10.0,F2
promo-gen-7,Sabonete Especial 1 L,Ganhe 15% de desconto em Sabonete Especial 1 L!,7891000100048,percentage,15.0,
promo-gen-8,Liquidação Total: Batata Artesanal 500 g,Desconto fixo de R$ 20.00 no produto Batata Artesanal 500 g.,7891000100004,fixed,20.0,
promo-gen-9,Clube de Descontos: Água Sanitária Econômico 500 mL,Desconto fixo de R$ 5.00 no produto Água Sanitária Econômico 500 mL.,7891000100109,fixed,5.0,
promo-gen-10,Promoção de Verão: Shampoo Clássico 1 unidade,Desconto fixo de R$ 1.45 no produto Shampoo Clássico 1 unidade.,7891000100066,fixed,1.45,
promo-gen-11,Desconto do Dia: Amaciante Especial 1 L,Ganhe 40% de desconto em Amaciante Especial 1 L!,7891000100097,percentage,40.0,D2
promo-gen-12,Só Hoje: Feijão Clássico 1 kg,Desconto fixo de R$ 5.00 no produto Feijão Clássico 1 kg.,7891000100124,fixed,5.0,F1
promo-gen-13,Clube de Descontos: Salsicha Especial 500 g,Ganhe 30% de desconto em Salsicha Especial 500 g!,7891000100085,percentage,30.0,A2
promo-gen-14,Clube de Descontos: Tomate Especial 1 kg,Ganhe 25% de desconto em Tomate Especial 1 kg!,7891000100117,percentage,25.0,E1
promo-gen-15, Shampoo Seleção 2 L,Ganhe 20% de desconto em Shampoo Seleção 2 L!,7891000100112,percentage,20.0,
promo-gen-16,Oferta Relâmpago: Pão Francês Seleção 2 kg,Desconto fixo de R$ 2.00 no produto Pão Francês Seleção 2 kg.,7891000100031,fixed,2.0,D2
promo-gen-17,Promoção de Verão: Pão Francês Tradicional 500 g,Desconto fixo de R$ 15.00 no produto Pão Francês Tradicional 500 g.,7891000100014,fixed,15.0,A2
