barcode,name,price,category,aisle
7891000100000,Açúcar,49.44,Mercearia,E2
7891000100001,Frango Inteiro,70.9,Carnes,E2
7891000100002,Fio Dental,66.48,Higiene,D1
7891000100003,Cerveja Artesanal,81.87,Bebidas,C1
7891000100004,Batata,25.32,Hortifruti,D2
7891000100005,Milho,64.76,Mercearia,A2
7891000100006,Shampoo,78.43,Higiene,D2
7891000100007,Leite Integral,66.07,Laticínios,E1
7891000100008,Presunto,9.57,Carnes,A1
7891000100009,Torrada Tradicional,11.88,Padaria,B2
7891000100010,Picanha,18.22,Carnes,F2
7891000100011,Sabão em Pó,74.9,Limpeza,D1
7891000100012,Tomate,48.89,Hortifruti,B2
7891000100013,Detergente,56.6,Limpeza,B2
7891000100014,Pão Francês,23.52,Padaria,A2
7891000100015,Amaciante,80.79,Limpeza,D1
7891000100016,Batata Organica,35.31,Hortifruti,E1
7891000100017,Óleo de girasol,42.68,Mercearia,B1
7891000100018,Linguiça,90.37,Carnes,E2
7891000100019,Desodorante Dove Men,18.42,Higiene,A2
7891000100020,Pão de Forma,92.34,Padaria,F1
7891000100021,Manteiga salgada,2.64,Laticínios,D2
7891000100022,Manteiga sem sal,8.46,Laticínios,A1
7891000100024,Desodorante,14.57,Higiene,D2
7891000100025,Esponja de Aço,40.8,Limpeza,C1
7891000100026,Água Mineral,3.5,Bebidas,C2
7891000100027,Torrada integral,57.87,Padaria,E2
7891000100028,Leite Condensado,77.08,Laticínios,C2
7891000100029,Salsicha,59.16,Carnes,C2
7891000100030,Cenoura Organica,32.04,Hortifruti,B2
7891000100033,Óleo,5.5,Mercearia,F2
7891000100035,Desinfetante,36.34,Limpeza,F1
7891000100037,Farinha,43.11,Mercearia,B1
7891000100038,Batata frita congelada,80.31,Hortifruti,E1
7891000100039,Macarrão,34.47,Mercearia,B1
7891000100041,Vinho Tinto,17.69,Bebidas,E1
7891000100043,Biscoito Recheado,58.03,Padaria,A1
7891000100044,Manteiga ,76.64,Laticínios,E1
7891000100047,Creme de Leite,51.66,Laticínios,C1
7891000100048,Sabonete ,74.51,Higiene,C2
7891000100050,Feijão,87.83,Mercearia,F2
7891000100051,Acém,7.96,Carnes,D1
7891000100053,Suco de Laranja,34.66,Bebidas,A1
7891000100055,Queijo Mussarela,32.81,Laticínios,A2
7891000100056,Papel Higiênico,18.74,Higiene,B2
7891000100058,Torrada,70.51,Padaria,A2
7891000100062,Água Sanitária Natural,63.38,Limpeza,B2
7891000100065,Cerveja,7.99,Bebidas,D1
7891000100067,Fio Dental Natural,83.35,Higiene,F1
7891000100069,Refrigerante Cola ,37.1,Bebidas,D1
7891000100072,Creme Dental,74.21,Higiene,B2
7891000100073,Shampoo Natural,40.36,Higiene,E1
7891000100074,Torrada Natural,67.99,Padaria,E1
7891000100075,Azeite,40.02,Mercearia,A1
7891000100082,Café,71.13,Bebidas,C1
7891000100084,Chá Gelado,66.99,Bebidas,C1
7891000100086,Cebola,94.64,Hortifruti,A2
7891000100091,Requeijão,42.74,Laticínios,E2
7891000100093,Alface,74.87,Hortifruti,E1
7891000100099,Farinha Natural,41.83,Mercearia,B2
7891000100102,Maçã,66.53,Hortifruti,C2
7891000100104,Bolo de Cenoura ,26.6,Padaria,E1
7891000100109,Água Sanitária,7.42,Limpeza,B2
7891000100116,Arroz,11.17,Mercearia,C2
7891000100119,Leite,57.33,Laticínios,A1
7891000100127,Biscoito Recheado Natural,89.02,Padaria,C2
7891000100134,Iogurte Natural,5.91,Laticínios,E1
7891000100135,Batata Natural,94.85,Hortifruti,E2
7891000100139,Açúcar Especial,23.16,Mercearia,D2
7891000100140,Picanha Especial,34.56,Carnes,A1
7891000100145,Desinfetante Natural,41.66,Limpeza,A2
7891000100146,Iogurte Natural Natural,81.71,Laticínios,B1
7891000100149,Sabão em Pó Especial,33.83,Limpeza,D1
